City,Cloudiness,Country,Date,Humidity,Lat,Long,Max_Temp,Wind Speed
Tabuk,52,PH,1555676781,97,17.41,121.44,18.68,0.7
Butaritari,100,KI,1555676783,79,3.07,172.79,27.88,7.39
Nioro,13,GM,1555676787,10,13.79,-15.05,39.88,6.15
Labuhan,88,ID,1555676789,92,-2.54,115.51,24.68,1.21
Lagoa,20,PT,1555676547,77,37.14,-8.45,17.78,4.6
Kavieng,91,PG,1555676792,75,-2.57,150.8,28.58,4.52
Hami,44,CN,1555676793,12,42.84,93.51,23.48,3.3
Marawi,70,PH,1555676159,86,8.0,124.29,27.22,1.34
Mount Gambier,89,AU,1555671600,39,-37.83,140.78,19.0,3.6
Cape Town,40,ZA,1555676578,77,-33.93,18.42,21.11,5.7
Souillac,0,FR,1555676736,31,45.6,-0.6,25.0,6.2
Port Macquarie,75,AU,1555676704,100,-31.43,152.91,19.0,2.6
Saint-Philippe,90,CA,1555676734,93,45.36,-73.48,13.33,2.1
Charters Towers,54,AU,1555676812,74,-20.07,146.27,21.68,3.83
Puerto Ayora,65,EC,1555676562,86,-0.74,-90.35,25.88,3.38
Marystown,94,CA,1555676101,100,47.17,-55.16,2.78,4.68
Altay,36,CN,1555676819,32,47.83,88.13,3.58,1.64
Hambantota,40,LK,1555672200,84,6.12,81.12,30.0,2.1
San Carlos de Bariloche,0,AR,1555675200,74,-41.13,-71.31,2.0,3.1
Ulaangom,0,MN,1555676824,16,49.98,92.07,0.88,4.27
Port-Cartier,90,CA,1555676598,98,50.03,-66.88,1.11,3.1
Petropavlovsk-Kamchatskiy,20,RU,1555675200,80,53.05,158.65,-1.0,2.0
Bethel,1,US,1555674960,92,60.79,-161.76,-6.0,2.6
Pittsfield,90,US,1555676763,81,39.61,-90.81,7.22,8.2
Lashio,0,MM,1555676833,25,22.93,97.75,29.98,1.49
Salalah,40,OM,1555674600,66,17.01,54.1,30.0,5.7
Lander,1,US,1555676254,52,42.83,-108.73,8.33,3.51
Acapulco,20,MX,1555674480,88,16.86,-99.88,23.0,1.5
East London,0,ZA,1555675200,65,-33.02,27.91,27.0,5.7
Baykit,100,RU,1555676847,81,61.68,96.39,-8.93,7.63
Santa Isabel do Rio Negro,100,BR,1555676848,84,-0.41,-65.02,25.48,0.88
Saskylakh,44,RU,1555676852,92,71.97,114.09,-17.13,1.84
Maniitsoq,0,GL,1555676853,41,65.42,-52.9,-8.43,0.77
Esil,100,KZ,1555676857,46,51.96,66.41,3.08,7.27
Baijiantan,47,CN,1555676858,24,45.63,85.18,14.08,4.08
Prenzlau,0,DE,1555676603,43,53.32,13.87,22.22,5.7
Wladyslawowo,0,PL,1555676426,44,54.79,18.4,16.11,5.1
Jurm,91,AF,1555676865,20,36.86,70.83,18.18,2.04
Onda,100,ES,1555676652,93,39.96,-0.26,15.0,7.7
Novoagansk,100,RU,1555676871,93,61.94,76.66,0.48,6.57
Touros,100,BR,1555676873,76,-5.2,-35.46,28.38,4.96
Chicama,75,PE,1555675200,88,-7.84,-79.15,20.0,3.1
Saldanha,82,PT,1555676878,58,41.42,-6.55,16.08,6.34
Lebu,75,ET,1555675200,36,8.96,38.73,25.0,6.7
Mazatlan,20,MX,1555676136,93,23.22,-106.42,21.11,1.5
Kununurra,30,AU,1555675200,65,-15.77,128.74,27.0,3.72
Bathsheba,20,BB,1555675200,69,13.22,-59.52,28.0,9.3
Torbay,90,CA,1555676605,55,47.66,-52.73,3.89,8.2
Mar del Plata,1,AR,1555676894,65,-46.43,-67.52,9.58,6.83
Senneterre,90,CA,1555675200,100,48.39,-77.24,1.0,4.6
Sao Joao da Barra,0,BR,1555675200,69,-21.64,-41.05,27.0,2.26
Eureka,90,US,1555676615,100,40.8,-124.16,12.78,5.56
Margate,0,AU,1555676895,87,-43.03,147.26,9.44,2.1
Victoria,75,BN,1555675200,94,5.28,115.24,29.0,4.1
Sept-Iles,90,CA,1555676898,98,50.2,-66.38,1.11,3.1
Cookeville,90,US,1555676766,100,36.16,-85.5,16.11,2.1
Saint Peter,1,US,1555676889,93,44.32,-93.96,3.89,2.51
Guerrero Negro,97,MX,1555676917,70,27.97,-114.04,17.68,5.84
Whitehorse,75,CA,1555676756,55,60.72,-135.06,2.0,5.7
Tuktoyaktuk,68,CA,1555676922,94,69.44,-133.03,-13.53,5.48
Port Alfred,32,ZA,1555676797,76,-33.59,26.89,23.33,1.79
Hamilton,20,BM,1555676117,63,32.3,-64.78,20.56,5.7
Chapais,90,CA,1555676100,86,49.78,-74.86,1.0,3.6
Isangel,75,VU,1555676930,81,-19.55,169.27,26.88,10.38
Mujiayingzi,99,CN,1555676933,35,42.12,118.78,10.38,5.47
Yerbogachen,96,RU,1555676935,80,61.28,108.01,-5.63,1.96
Valverde del Camino,14,ES,1555676341,58,37.57,-6.75,20.0,0.89
West Bay,0,GB,1555676921,56,50.71,-2.76,23.0,3.6
Tecoanapa,20,MX,1555674480,88,16.99,-99.26,23.0,1.5
Katsuura,75,JP,1555675692,82,33.93,134.5,15.0,4.6
Llata,70,PE,1555676947,94,-9.55,-76.82,5.48,0.81
Luderitz,45,NA,1555671600,53,-26.65,15.16,22.0,1.5
Qena,0,EG,1555675200,23,26.16,32.72,30.0,5.1
Punta Arenas,20,CL,1555676598,87,-53.16,-70.91,7.0,10.3
Kaitangata,99,NZ,1555676840,84,-46.28,169.85,12.22,0.89
Norman Wells,90,CA,1555675200,74,65.28,-126.83,-2.0,3.6
Vaini,20,IN,1555675200,24,15.34,74.49,35.0,4.1
Mansa,0,IN,1555675200,17,23.43,72.66,37.0,3.6
Ponta do Sol,0,BR,1555676958,78,-20.63,-46.0,20.58,0.42
Dingle,46,PH,1555676961,69,11.0,122.67,27.18,2.99
Airai,49,TL,1555676962,77,-8.93,125.41,24.38,2.36
Benguela,40,AO,1555671600,83,-12.58,13.4,28.0,4.1
Hokitika,20,NZ,1555676965,70,-42.72,170.96,13.48,4.14
Bambous Virieux,40,MU,1555676942,62,-20.34,57.76,29.0,3.1
Kodiak,1,US,1555676906,87,39.95,-94.76,6.11,6.2
Hit,29,IQ,1555676971,18,33.64,42.83,24.08,8.86
Oltu,99,TR,1555676973,75,40.55,42.0,3.98,1.58
Lorengau,100,PG,1555676977,92,-2.02,147.27,25.18,1.1
Jamestown,74,AU,1555676846,26,-33.21,138.6,24.78,4.27
Shakawe,0,BW,1555676983,21,-18.36,21.84,32.68,5.09
Talnakh,0,RU,1555675200,76,69.49,88.39,-21.0,2.0
Yulara,70,AU,1555671600,17,-25.24,130.99,23.0,1.5
Carnarvon,88,ZA,1555676988,7,-30.97,22.13,27.58,9.43
Cherskiy,84,RU,1555676991,93,68.75,161.3,-16.93,4.1
Broken Hill,23,AU,1555671600,27,-31.97,141.45,24.0,3.1
Olinda,75,EC,1555676720,78,-2.03,-79.75,26.11,2.6
Nanortalik,1,GL,1555676944,66,60.14,-45.24,-0.73,4.34
Pacific Grove,90,US,1555676996,93,36.62,-121.92,12.22,2.6
Matay,0,EG,1555677004,25,28.42,30.79,25.68,4.98
Hobyo,42,SO,1555677010,58,5.35,48.53,31.88,5.18
Lisakovsk,20,KZ,1555677014,17,52.55,62.49,6.48,6.35
Dongsheng,25,CN,1555677017,67,29.72,112.52,24.38,6.06
Rzhev,26,RU,1555677019,36,56.26,34.33,11.68,1.67
Birstonas,0,LT,1555674600,22,54.62,24.03,19.0,4.1
Laguna,65,MX,1555677023,40,27.52,-110.01,20.98,2.34
Lucapa,69,AO,1555677029,41,-8.42,20.74,31.78,3.05
Fortuna,75,ES,1555677026,93,38.18,-1.13,15.0,1.0
Noumea,0,NC,1555675200,88,-22.28,166.46,23.0,4.6
Esperance,40,TT,1555676207,78,10.24,-61.45,28.0,3.6
Ghanzi,0,BW,1555677041,16,-21.7,21.65,32.98,5.37
Chuy,52,UY,1555677042,77,-33.69,-53.46,17.98,4.66
Chirongui,75,YT,1555675200,70,-12.93,45.15,32.0,3.6
Ozinki,0,RU,1555677049,22,51.2,49.73,9.78,4.05
Castro,40,CL,1555675200,100,-42.48,-73.76,4.0,2.1
Wilmington,90,US,1555676763,88,39.75,-75.55,19.44,4.1
Yumen,100,CN,1555677059,34,40.29,97.04,15.68,6.27
Leningradskiy,2,RU,1555676947,94,69.38,178.42,-18.53,3.17
Corn Island,100,NI,1555677062,79,12.17,-83.04,27.08,5.37
Susanville,1,US,1555676994,75,40.42,-120.65,6.0,1.5
Amapa,20,HN,1555675200,83,15.09,-87.97,25.56,1.11
Arraias,55,BR,1555677073,89,-12.93,-46.94,24.98,2.01
Vardo,1,US,1555677073,68,39.62,-77.74,21.0,6.7
Pevek,93,RU,1555677078,93,69.7,170.27,-9.93,4.42
Strezhevoy,90,RU,1555675200,60,60.73,77.6,4.0,3.0
Arraial do Cabo,40,BR,1555675200,78,-22.97,-42.02,26.0,6.2
Frogner,0,NO,1555677062,30,60.02,11.1,19.44,1.5
Padang,40,ID,1555671600,79,-0.92,100.36,30.0,2.1
Shingu,70,JP,1555677092,90,33.72,135.99,9.18,1.94
Mahebourg,40,MU,1555676942,62,-20.41,57.7,29.0,3.1
Bogo,93,CM,1555677098,8,10.74,14.61,41.88,1.83
Klaksvik,3,FO,1555676400,71,62.23,-6.59,13.0,8.2
Amnat Charoen,60,TH,1555677101,36,15.86,104.63,36.08,2.5
Neiafu,75,TO,1555675200,83,-18.65,-173.98,26.0,5.7
Portland,90,US,1555676841,82,45.52,-122.67,13.33,2.1
Kasongo-Lunda,63,CD,1555677109,37,-6.48,16.82,32.98,2.14
Morondava,0,MG,1555677110,81,-20.3,44.28,28.28,5.39
Ormara,0,PK,1555677112,29,25.21,64.64,31.68,7.55
Tabou,100,CI,1555677115,79,4.42,-7.36,27.98,1.69
Henties Bay,14,NA,1555675329,85,-22.12,14.28,15.0,4.02
Nanning,40,CN,1555675200,79,22.83,108.3,29.0,3.0
Bagdarin,99,RU,1555677121,55,54.44,113.59,-6.43,10.74
Tuensang,0,IN,1555677123,55,26.24,94.81,24.68,0.19
Solano,46,PH,1555677086,86,16.52,121.18,19.98,0.1
Arteaga,5,MX,1555677100,58,25.45,-100.85,18.33,3.6
Songea,31,TZ,1555677132,65,-10.68,35.65,26.58,3.39
Pisco,100,PE,1555677022,30,-13.71,-76.2,22.22,1.5
Nouakchott,67,MR,1555675200,21,18.08,-15.98,32.0,6.7
Novoorsk,0,RU,1555675200,18,51.38,58.98,9.0,8.0
Kargil,5,PK,1555677141,52,34.56,76.13,2.48,0.48
Flinders,9,AU,1555677016,100,-34.58,150.85,20.0,2.6
Longyan,100,CN,1555677147,96,25.1,117.03,19.68,1.42
New Philadelphia,90,US,1555677050,72,40.49,-81.45,18.89,3.1
Avarua,100,CK,1555675200,83,-21.21,-159.78,22.0,2.6
Taiyuan,0,CN,1555675200,20,37.86,112.56,13.0,4.0
Baza,35,ES,1555677130,64,37.49,-2.77,15.0,2.68
Sobolevo,37,RU,1555677157,38,54.43,31.9,11.48,2.65
Nuuk,0,GL,1555676572,57,64.17,-51.74,-5.0,6.2
Longyearbyen,75,NO,1555674600,86,78.22,15.63,3.0,1.7
Healdsburg,1,US,1555676916,100,38.61,-122.87,12.22,1.5
Puerto Baquerizo Moreno,90,EC,1555675200,88,-0.9,-89.6,26.0,2.6
Manta,23,RO,1555677171,34,45.1,24.1,17.08,4.18
Faanui,4,PF,1555677173,73,-16.48,-151.75,29.18,3.45
Provideniya,76,RU,1555677177,58,64.42,-173.23,-13.43,2.09
Miyako,75,JP,1555677117,76,33.63,130.94,17.22,7.2
Vila Franca do Campo,75,PT,1555675200,100,37.72,-25.43,17.0,3.1
Kavaratti,40,IN,1555673400,66,10.57,72.64,31.0,2.6
The Valley,40,AI,1555677151,65,18.22,-63.06,26.67,7.2
Cabo San Lucas,75,MX,1555677057,49,22.89,-109.91,20.0,2.56
Skjervoy,86,NO,1555677190,83,70.03,20.97,4.98,6.51
Nuevo Progreso,90,US,1555676916,76,26.05,-97.95,15.56,2.8
Bolobo,100,CD,1555677193,48,-2.17,16.23,33.08,2.37
Viedma,59,AR,1555677197,66,-40.81,-62.99,15.08,3.18
Alofi,75,NU,1555675200,73,-19.06,-169.92,25.0,8.7
Barrow,2,AR,1555677200,56,-38.31,-60.23,14.88,0.72
Poum,40,MK,1555675200,58,41.28,20.71,14.0,4.1
Egvekinot,100,RU,1555677187,93,66.32,-179.17,-13.33,2.36
Creston,1,US,1555677122,100,41.06,-94.36,5.0,5.1
Weligama,100,LK,1555677196,68,5.97,80.42,30.48,3.26
Auki,13,NG,1555677214,4,12.18,6.51,37.88,2.52
Poronaysk,99,RU,1555677216,96,49.22,143.1,0.08,2.77
Carmen,81,PH,1555677219,66,7.2,124.8,28.38,1.77
Adrar,0,DZ,1555675200,13,27.87,-0.29,32.0,11.3
Sola,0,NO,1555677170,44,58.89,5.65,18.33,4.6
Port Hardy,75,CA,1555675200,93,50.7,-127.42,5.0,2.1
Hualmay,96,PE,1555677229,93,-11.1,-77.61,20.08,5.13
Opuwo,0,NA,1555677234,26,-18.06,13.84,33.18,3.93
Isiolo,27,KE,1555677236,22,0.35,37.58,34.68,7.55
Dunedin,15,NZ,1555677011,82,-45.87,170.5,11.67,4.47
Borzna,37,UA,1555677242,39,51.25,32.43,12.18,4.55
Oranjemund,91,ZA,1555677244,87,-28.55,16.43,16.08,4.18
Saint Anthony,1,US,1555677148,80,43.97,-111.68,3.33,2.35
Arman,100,RU,1555677248,98,59.7,150.17,-2.73,1.9
Talcahuano,90,CL,1555675200,100,-36.72,-73.12,11.0,2.1
Juegang,42,CN,1555677008,88,32.31,121.18,16.67,1.34
Karratha,100,AU,1555677043,27,-20.74,116.85,30.58,7.99
Nyimba,72,ZM,1555677258,50,-14.56,30.81,29.38,2.3
Srednekolymsk,28,RU,1555677260,90,67.46,153.71,-15.03,0.54
Avera,90,US,1555677241,78,33.19,-82.53,24.0,2.1
Tateyama,75,JP,1555677001,71,36.66,137.31,11.67,1.5
Bow Island,1,CA,1555677041,58,49.87,-111.38,12.78,6.2
Mayya,0,RU,1555675200,36,61.74,130.28,-2.0,3.0
Codrington,40,AU,1555677266,93,-28.95,153.24,22.0,1.92
Gamba,0,CN,1555677280,20,28.28,88.52,-0.23,6.92
San-Pedro,100,CI,1555677282,71,4.75,-6.64,28.78,1.6
Samarai,86,PG,1555677283,87,-10.62,150.67,23.28,1.37
Bra,0,IT,1555677233,39,44.7,7.85,23.33,3.6
Fairbanks,90,US,1555677012,92,64.84,-147.72,-1.67,3.1
Gizo,40,IL,1555677098,48,31.8,34.94,20.0,9.8
Chadiza,71,ZM,1555677295,66,-14.06,32.43,24.58,4.21
Ullapool,19,GB,1555677018,44,57.9,-5.16,19.44,3.58
Coquimbo,90,CL,1555675200,82,-29.95,-71.34,14.0,2.1
Thompson,75,CA,1555675200,97,55.74,-97.86,1.0,2.1
Vakhrushi,64,RU,1555677305,73,57.97,54.45,4.38,2.88
Mount Hagen,100,PG,1555677136,99,-5.86,144.23,12.78,0.93
San Patricio,44,PY,1555677309,62,-26.98,-56.83,21.48,2.3
Porto Walter,90,BR,1555677310,89,-8.27,-72.74,24.38,0.08
Chiredzi,50,ZW,1555677314,39,-21.05,31.67,31.18,4.48
Lakki Marwat,24,PK,1555677318,26,32.61,70.91,30.38,4.57
Ilulissat,0,GL,1555674600,43,69.22,-51.1,-9.0,4.1
Koumac,1,NC,1555677324,77,-20.56,164.28,26.78,5.53
Izhma,100,RU,1555677326,99,65.01,53.91,2.18,2.82
Zhezkazgan,90,KZ,1555675200,93,47.8,67.71,6.0,9.0
Vilhena,0,BR,1555675200,83,-12.74,-60.15,26.0,2.1
Dakoro,0,NE,1555677332,3,14.51,6.76,38.98,4.42
Lavrentiya,0,RU,1555677334,82,65.58,-170.99,-21.73,2.37
Kulhudhuffushi,80,MV,1555677338,73,6.62,73.07,30.08,6.23
Yeniseysk,86,RU,1555677185,74,58.45,92.17,-2.73,4.37
Lakes Entrance,3,AU,1555677130,94,-37.88,147.99,11.67,1.44
Sur,0,OM,1555677344,16,22.57,59.53,35.48,4.32
Zyryanka,85,RU,1555677346,84,65.73,150.89,-11.33,2.02
Bonavista,83,CA,1555677055,84,48.65,-53.11,1.67,0.45
Yinchuan,86,CN,1555677297,30,38.48,106.21,15.56,4.02
Shimoda,75,JP,1555677311,51,34.7,138.93,18.33,7.7
Lac du Bonnet,4,CA,1555677301,86,50.25,-96.06,3.89,2.68
Ewa Beach,1,US,1555677282,73,21.32,-158.01,24.0,2.1
Port Elizabeth,40,US,1555677331,82,39.31,-74.98,20.56,2.1
Honningsvag,0,NO,1555677362,66,70.98,25.97,5.98,5.99
Grindavik,75,IS,1555675200,100,63.84,-22.43,10.0,13.9
Lufkin,75,US,1555677353,76,31.34,-94.73,11.11,3.1
Mount Isa,1,AU,1555675200,56,-20.73,139.49,21.0,2.1
Victor Harbor,0,AU,1555677329,26,-35.55,138.62,26.67,4.1
Maragogi,98,BR,1555677042,66,-9.01,-35.22,29.48,2.19
Clyde River,1,CA,1555675200,76,70.47,-68.59,-23.0,1.5
Okhotsk,100,RU,1555677379,94,59.36,143.24,-0.73,6.05
Sukhothai,0,TH,1555676304,30,17.01,99.82,38.33,1.5
Camargo,1,MX,1555677383,35,27.69,-105.17,13.58,1.87
Caravelas,34,BR,1555677387,74,-17.73,-39.27,28.58,0.97
Payakumbuh,100,ID,1555677389,95,-0.23,100.63,22.08,1.13
Kutum,26,SD,1555677390,8,14.2,24.66,33.78,4.83
Tromso,75,NO,1555677016,80,69.65,18.96,5.0,10.3
Tselinnoye,100,UA,1555677399,45,45.9,34.18,9.08,7.24
Gat,15,SN,1555675200,45,14.69,-16.54,28.0,6.2
Brae,0,GB,1555676400,47,60.4,-1.35,15.0,11.8
Massaguet,68,TD,1555675200,9,12.48,15.44,42.0,3.1
Melfort,90,CA,1555675200,46,52.87,-104.61,4.0,3.6
Sao Filipe,30,CV,1555677154,86,14.9,-24.5,21.78,9.65
Bambanglipuro,99,ID,1555677411,81,-7.95,110.28,28.68,7.87
Road Town,40,VG,1555677257,69,18.42,-64.62,27.22,4.1
Nemuro,42,JP,1555677418,89,43.32,145.57,2.18,9.78
Husavik,11,CA,1555677301,86,50.56,-96.99,3.89,2.68
Vostok,96,RU,1555677424,54,46.45,135.83,-0.23,2.67
Loralai,0,PK,1555677426,18,30.37,68.6,25.38,2.02
Inhambane,75,MZ,1555675200,54,-23.87,35.38,29.0,6.2
Broome,0,GB,1555677426,52,52.47,1.45,22.78,5.1
Batagay,14,RU,1555677433,85,67.65,134.64,-11.23,1.62
Puerto Carreno,75,CO,1555675200,94,6.19,-67.49,25.0,2.1
Tura,1,IN,1555677438,36,25.52,90.21,31.08,1.39
Martil,75,MA,1555675200,63,35.62,-5.28,18.0,4.1
Praia,0,BR,1555675200,54,-20.25,-43.81,26.0,2.6
Metro,90,ID,1555677392,85,-5.11,105.31,26.68,1.97
Trincomalee,94,LK,1555677446,78,8.58,81.23,29.18,1.8
Parati,75,BR,1555675200,74,-20.51,-54.63,26.0,2.1
Severo-Kurilsk,0,RU,1555677449,88,50.68,156.12,1.48,10.44
Manyana,40,AU,1555677166,100,-35.26,150.51,20.0,2.1
Sitka,0,US,1555677053,81,37.17,-99.65,2.78,2.24
Port Blair,20,IN,1555671600,59,11.67,92.75,32.0,2.1
Goure,17,NE,1555677458,6,13.98,10.27,38.58,5.16
Bandarbeyla,7,SO,1555677460,48,9.49,50.81,31.88,6.93
Aguadulce,100,PA,1555677193,88,8.24,-80.54,30.56,1.5
Lagos,100,NG,1555677294,50,6.46,3.39,34.88,4.39
Meulaboh,100,ID,1555677468,74,4.14,96.13,29.68,4.9
Rio Gallegos,20,AR,1555675200,81,-51.62,-69.22,6.0,6.7
Paragominas,97,BR,1555677474,85,-3.0,-47.35,26.88,1.52
Namibe,20,AO,1555671600,47,-15.19,12.15,24.0,3.1
Naze,75,NG,1555675200,70,5.43,7.07,31.0,3.6
Lompoc,90,US,1555677336,100,34.64,-120.46,13.33,2.99
Dingzhou,0,CN,1555675200,62,38.51,115.0,11.0,1.38
Zeya,51,RU,1555677483,60,53.74,127.27,-4.33,1.42
Ahipara,21,NZ,1555677488,75,-35.17,173.16,17.68,4.89
Mitsamiouli,40,KM,1555675200,70,-11.38,43.28,32.0,6.7
Geraldton,20,CA,1555675200,85,49.72,-86.95,-4.0,1.5
Havixbeck,0,DE,1555677439,39,51.98,7.41,25.0,4.6
Zonnebeke,0,BE,1555677491,55,50.87,2.99,25.0,5.7
Martinsicuro,0,IT,1555677478,68,42.89,13.92,18.0,4.1
Aranos,27,NA,1555677503,21,-24.14,19.11,30.98,6.71
Sampit,98,ID,1555677507,94,-2.54,112.95,24.48,0.5
Gasa,91,BT,1555677512,78,27.91,89.73,-2.63,4.87
Upernavik,0,GL,1555677514,68,72.79,-56.15,-16.93,2.31
Hurricane,1,US,1555677199,54,37.18,-113.29,12.0,3.1
Lata,85,IN,1555677518,97,30.78,78.62,-0.23,2.6
Sechura,56,PE,1555677520,86,-5.56,-80.82,21.38,4.11
Saint-Joseph,0,FR,1555677323,32,43.56,6.97,21.0,4.6
Yantai,4,CN,1555677337,70,37.53,121.39,10.56,1.2
Churapcha,14,RU,1555677534,84,62.0,132.43,-6.63,2.35
Imphal,40,IN,1555675200,48,24.8,93.94,28.0,3.1
Necochea,60,AR,1555677109,64,-38.55,-58.74,17.78,0.84
Lumeje,82,AO,1555677540,52,-11.56,20.78,28.28,3.23
Muli,0,IN,1555677542,14,22.62,71.45,36.18,6.51
Dalbandin,0,PK,1555677544,12,28.9,64.41,31.08,3.73
Vagur,24,FO,1555677422,86,61.47,-6.81,9.28,8.55
Cabedelo,40,BR,1555675200,74,-6.97,-34.84,29.0,2.1
Nome,1,US,1555677529,81,30.04,-94.42,14.44,3.6
Berlevag,1,NO,1555677551,88,70.86,29.09,4.38,5.9
Eirunepe,94,BR,1555677553,81,-6.66,-69.87,24.68,0.47
Dryden,1,CA,1555675200,64,49.79,-92.84,1.0,3.6
Bettiah,0,IN,1555677561,20,26.8,84.51,34.58,5.51
Hasaki,75,JP,1555677127,71,35.73,140.83,15.0,7.2
Yongan,95,CN,1555677568,33,39.7,113.69,15.28,4.54
Hanzhong,93,CN,1555677570,76,33.08,107.03,21.68,2.31
Ladario,91,PT,1555677072,63,40.7,-7.74,18.33,4.02
Aksu,90,KZ,1555677000,29,52.04,76.93,3.0,7.0
Dudinka,0,RU,1555675200,76,69.41,86.18,-21.0,2.0
San Cristobal,75,EC,1555677056,100,-0.39,-78.55,13.0,1.5
Rurrenabaque,75,BO,1555675200,100,-14.44,-67.53,25.0,0.55
Baruun-Urt,54,MN,1555677584,33,46.68,113.28,14.38,5.48
Ust-Kuyga,3,RU,1555677588,78,70.0,135.55,-11.83,3.18
Jos,82,NG,1555677589,13,9.92,8.9,37.08,1.92
Huarmey,84,PE,1555677591,92,-10.07,-78.15,20.38,5.43
Soyo,40,AO,1555671600,66,-6.13,12.37,32.0,4.1
Burgeo,100,CA,1555677595,93,47.61,-57.61,0.38,9.97
Cape Canaveral,1,US,1555677484,73,28.41,-80.6,26.67,8.2
Xicotencatl,47,MX,1555677319,65,23.02,-98.88,17.22,1.79
Manaure,40,CO,1555675200,74,11.78,-72.45,27.0,6.2
Deputatskiy,0,RU,1555677604,86,69.3,139.9,-18.33,1.05
Farafangana,57,MG,1555677606,88,-22.82,47.83,24.78,4.12
Kurkino,63,RU,1555677608,31,53.42,38.66,10.28,2.62
Peski,0,RU,1555677336,37,59.94,30.38,15.56,7.0
Atchison,1,US,1555677603,87,39.56,-95.12,7.78,6.2
Saint-Nazaire,0,FR,1555677110,35,47.27,-2.21,24.44,1.5
Doha,0,QA,1555675200,26,25.29,51.53,39.0,5.1
Arinos,23,BR,1555677620,81,-15.92,-46.11,25.08,0.85
Chiang Mai,20,TH,1555677000,26,18.79,98.99,36.0,1.5
Tarragona,100,ES,1555677347,47,41.12,1.25,20.56,7.15
Tocopilla,98,CL,1555677626,95,-22.09,-70.2,17.68,7.4
Srikakulam,1,IN,1555677629,43,18.29,83.89,33.68,7.13
Sao Miguel do Araguaia,67,BR,1555677630,70,-13.28,-50.16,27.88,1.31
San Jose de Rio Tinto,55,HN,1555677634,95,14.93,-85.7,16.98,0.78
